Professional Indoor Lighting;Ceiling Lights, Professional Lighting Indoor;Edith;Edith 2 UV-C Recessed;Finish White;Installation position Ceiling;IP IP20;Control management On/Off;Light Source UV-C discharge;CCT UV-C;Optics Extra Wide Flood;CRI -;83660U12;"Single emission for indoor application. UV-C discharge lamp included 15W, lamp cap 2xG13.
The device body is made of iron and features a white ral 9016 finish, processed by means of coating; the mounting frame is made of PC, with a white finish. The ingress protection degree is IP20; the total weight is of 2.4 kg.
The device features protection class I and can be ceiling-mounted.
Compliant with the EN 60598-1 standard and its specific provisions."
Professional Indoor Lighting;Ceiling Lights, Professional Lighting Indoor;Edith;Edith 2 UV-C Recessed;Finish White;Installation position Ceiling;IP IP20;Control management On/Off;Light Source UV-C discharge;CCT UV-C;Optics Extra Wide Flood;CRI -;83661U12;"Single emission for indoor application. Compatibility:, uV-C discharge 15 W; lamp cap 2xG13.
The device body is made of iron and features a white ral 9016 finish, processed by means of coating; the mounting frame is made of PC, with a white finish. The ingress protection degree is IP20; the total weight is of 2 kg.
The device features protection class II and can be ceiling-mounted.
Compliant with the EN 60598-1 standard and its specific provisions."
Professional Indoor Lighting;Ceiling Lights, Professional Lighting Indoor;Edith;Edith 3 UV-C Recessed;Finish White;Installation position Ceiling;IP IP20;Control management On/Off;Light Source UV-C discharge;CCT UV-C;Optics Extra Wide Flood;CRI -;83662U12;"Single emission for indoor application. UV-C discharge lamp included 15W, lamp cap 3xG13.
The device body is made of iron and features a white ral 9016 finish, processed by means of coating; the mounting frame is made of PC, with a white finish. The ingress protection degree is IP20; the total weight is of 4.6 kg.
The device features protection class I and can be ceiling-mounted.
Compliant with the EN 60598-1 standard and its specific provisions."
Professional Indoor Lighting;Ceiling Lights, Professional Lighting Indoor;Edith;Edith 3 UV-C Recessed;Finish White;Installation position Ceiling;IP IP20;Control management On/Off;Light Source UV-C discharge;CCT UV-C;Optics Extra Wide Flood;CRI -;83663U12;"Single emission for indoor application. Compatibility:, uV-C discharge 15 W; lamp cap 3xG13.
The device body is made of iron and features a white ral 9016 finish, processed by means of coating; the mounting frame is made of PC, with a white finish. The ingress protection degree is IP20; the total weight is of 4 kg.
The device features protection class II and can be ceiling-mounted.
Compliant with the EN 60598-1 standard and its specific provisions."
Professional Indoor Lighting;Ceiling Lights, Professional Lighting Indoor;Edith;Edith Full-light Comfort;Finish White;Installation position Ceiling;IP IP40;IK 05;Control management DALI;Luminaire efficacy 86.2 lm/W;Light Source topLED;CCT 3000 K;Optics General Lighting;Delivered lumen 2585 lm;CRI 95;UGR < 19;97853W00;"Single emission ceiling lights for indoor application. The warm white LED light source with a general lighting light distribution is composed of 99 topled LEDs with CCT of 3000 K and a CRI 95; the source luminous flux is 3396 lm, with a 125.8 lm/W nominal luminous efficacy.
The device body is made of iron and features a white ral 9016 finish, processed by means of coating; the diffuser is made of pmma. The ingress protection degree is IP40; the total weight is of 3.45 kg.
The total absorbed power is 27 W. The power supply cable is included and features a 0.3 m lenght.
The device features protection class II and can be ceiling-mounted.
Compliant with the EN 60598-1 standard and its specific provisions."
Professional Indoor Lighting;Ceiling Lights, Professional Lighting Indoor;Edith;Edith Full-light Comfort;Finish White;Installation position Ceiling;IP IP40;IK 05;Control management On/Off;Luminaire efficacy 100.4 lm/W;Light Source topLED;CCT 3000 K;Optics General Lighting;Delivered lumen 3011 lm;CRI 80;UGR < 19;97850W00;"Single emission ceiling lights for indoor application. The warm white LED light source with a general lighting light distribution is composed of 99 topled LEDs with CCT of 3000 K and a CRI 80; the source luminous flux is 3990 lm, with a 147.8 lm/W nominal luminous efficacy.
The device body is made of iron and features a white ral 9016 finish, processed by means of coating; the diffuser is made of pmma. The ingress protection degree is IP40; the total weight is of 3.45 kg.
The total absorbed power is 27 W. The power supply cable is included and features a 0.3 m lenght.
The device features protection class II and can be ceiling-mounted.
Compliant with the EN 60598-1 standard and its specific provisions."
Professional Indoor Lighting;Ceiling Lights, Professional Lighting Indoor;Edith;Edith Full-light Comfort;Finish White;Installation position Ceiling;IP IP40;IK 05;Control management DALI;Luminaire efficacy 100.4 lm/W;Light Source topLED;CCT 3000 K;Optics General Lighting;Delivered lumen 3011 lm;CRI 80;UGR < 19;97851W00;"Single emission ceiling lights for indoor application. The warm white LED light source with a general lighting light distribution is composed of 99 topled LEDs with CCT of 3000 K and a CRI 80; the source luminous flux is 3990 lm, with a 147.8 lm/W nominal luminous efficacy.
The device body is made of iron and features a white ral 9016 finish, processed by means of coating; the diffuser is made of pmma. The ingress protection degree is IP40; the total weight is of 3.45 kg.
The total absorbed power is 27 W. The power supply cable is included and features a 0.3 m lenght.
The device features protection class II and can be ceiling-mounted.
Compliant with the EN 60598-1 standard and its specific provisions."
Professional Indoor Lighting;Ceiling Lights, Professional Lighting Indoor;Edith;Edith Full-light Comfort;Finish White;Installation position Ceiling;IP IP40;IK 05;Control management On/Off;Luminaire efficacy 86.2 lm/W;Light Source topLED;CCT 3000 K;Optics General Lighting;Delivered lumen 2585 lm;CRI 95;UGR < 19;97852W00;"Single emission ceiling lights for indoor application. The warm white LED light source with a general lighting light distribution is composed of 99 topled LEDs with CCT of 3000 K and a CRI 95; the source luminous flux is 3396 lm, with a 125.8 lm/W nominal luminous efficacy.
The device body is made of iron and features a white ral 9016 finish, processed by means of coating; the diffuser is made of pmma. The ingress protection degree is IP40; the total weight is of 3.45 kg.
The total absorbed power is 27 W. The power supply cable is included and features a 0.3 m lenght.
The device features protection class II and can be ceiling-mounted.
Compliant with the EN 60598-1 standard and its specific provisions."
Professional Indoor Lighting;Ceiling Lights, Professional Lighting Indoor;Edith;Edith Full-light Comfort;Finish White;Installation position Ceiling;IP IP40;IK 05;Control management On/Off;Luminaire efficacy 110.0 lm/W;Light Source topLED;CCT 4000 K;Optics General Lighting;Delivered lumen 3300 lm;CRI 80;UGR < 19;97850N00;"Single emission ceiling lights for indoor application. The natural white LED light source with a general lighting light distribution is composed of 99 topled LEDs with CCT of 4000 K and a CRI 80; the source luminous flux is 4227 lm, with a 156.6 lm/W nominal luminous efficacy.
The device body is made of iron and features a white ral 9016 finish, processed by means of coating; the diffuser is made of pmma. The ingress protection degree is IP40; the total weight is of 3.45 kg.
The total absorbed power is 27 W. The power supply cable is included and features a 0.3 m lenght.
The device features protection class II and can be ceiling-mounted.
Compliant with the EN 60598-1 standard and its specific provisions."
Professional Indoor Lighting;Ceiling Lights, Professional Lighting Indoor;Edith;Edith Full-light Comfort;Finish White;Installation position Ceiling;IP IP40;IK 05;Control management DALI;Luminaire efficacy 110.0 lm/W;Light Source topLED;CCT 4000 K;Optics General Lighting;Delivered lumen 3300 lm;CRI 80;UGR < 19;97851N00;"Single emission ceiling lights for indoor application. The natural white LED light source with a general lighting light distribution is composed of 99 topled LEDs with CCT of 4000 K and a CRI 80; the source luminous flux is 4227 lm, with a 156.6 lm/W nominal luminous efficacy.
The device body is made of iron and features a white ral 9016 finish, processed by means of coating; the diffuser is made of pmma. The ingress protection degree is IP40; the total weight is of 3.45 kg.
The total absorbed power is 27 W. The power supply cable is included and features a 0.3 m lenght.
The device features protection class II and can be ceiling-mounted.
Compliant with the EN 60598-1 standard and its specific provisions."
Professional Indoor Lighting;Ceiling Lights, Professional Lighting Indoor;Edith;Edith Full-light Standard;Finish White;Installation position Ceiling;IP IP40;IK 05;Control management On/Off;Luminaire efficacy 83.0 lm/W;Light Source topLED;CCT 3000 K;Optics General Lighting;Delivered lumen 3736 lm;CRI 95;UGR < 22;97856W00;"Single emission ceiling lights for indoor application. The warm white LED light source with a general lighting light distribution is composed of 121 topled LEDs with CCT of 3000 K and a CRI 95; the source luminous flux is 4840 lm, with a 119.5 lm/W nominal luminous efficacy.
The device body is made of iron and features a white ral 9016 finish, processed by means of coating; the diffuser is made of pmma. The ingress protection degree is IP40; the total weight is of 3.45 kg.
The total absorbed power is 41 W. The power supply cable is included and features a 0.3 m lenght.
The device features protection class II and can be ceiling-mounted.
Compliant with the EN 60598-1 standard and its specific provisions."
Professional Indoor Lighting;Ceiling Lights, Professional Lighting Indoor;Edith;Edith Full-light Standard;Finish White;Installation position Ceiling;IP IP40;IK 05;Control management On/Off;Luminaire efficacy 96.4 lm/W;Light Source topLED;CCT 3000 K;Optics General Lighting;Delivered lumen 4339 lm;CRI 80;UGR < 25;97854W00;"Single emission ceiling lights for indoor application. The warm white LED light source with a general lighting light distribution is composed of 121 topled LEDs with CCT of 3000 K and a CRI 80; the source luminous flux is 5675 lm, with a 140.1 lm/W nominal luminous efficacy.
The device body is made of iron and features a white ral 9016 finish, processed by means of coating; the diffuser is made of pmma. The ingress protection degree is IP40; the total weight is of 3.45 kg.
The total absorbed power is 41 W. The power supply cable is included and features a 0.3 m lenght.
The device features protection class II and can be ceiling-mounted.
Compliant with the EN 60598-1 standard and its specific provisions."
Professional Indoor Lighting;Ceiling Lights, Professional Lighting Indoor;Edith;Edith Full-light Standard;Finish White;Installation position Ceiling;IP IP40;IK 05;Control management DALI;Luminaire efficacy 96.4 lm/W;Light Source topLED;CCT 3000 K;Optics General Lighting;Delivered lumen 4339 lm;CRI 80;UGR < 25;97855W00;"Single emission ceiling lights for indoor application. The warm white LED light source with a general lighting light distribution is composed of 121 topled LEDs with CCT of 3000 K and a CRI 80; the source luminous flux is 5675 lm, with a 140.1 lm/W nominal luminous efficacy.
The device body is made of iron and features a white ral 9016 finish, processed by means of coating; the diffuser is made of pmma. The ingress protection degree is IP40; the total weight is of 3.45 kg.
The total absorbed power is 41 W. The power supply cable is included and features a 0.3 m lenght.
The device features protection class II and can be ceiling-mounted.
Compliant with the EN 60598-1 standard and its specific provisions."
Professional Indoor Lighting;Ceiling Lights, Professional Lighting Indoor;Edith;Edith Full-light Standard;Finish White;Installation position Ceiling;IP IP40;IK 05;Control management DALI;Luminaire efficacy 83.0 lm/W;Light Source topLED;CCT 3000 K;Optics General Lighting;Delivered lumen 3736 lm;CRI 95;UGR < 22;97857W00;"Single emission ceiling lights for indoor application. The warm white LED light source with a general lighting light distribution is composed of 121 topled LEDs with CCT of 3000 K and a CRI 95; the source luminous flux is 4840 lm, with a 119.5 lm/W nominal luminous efficacy.
The device body is made of iron and features a white ral 9016 finish, processed by means of coating; the diffuser is made of pmma. The ingress protection degree is IP40; the total weight is of 3.45 kg.
The total absorbed power is 41 W. The power supply cable is included and features a 0.3 m lenght.
The device features protection class II and can be ceiling-mounted.
Compliant with the EN 60598-1 standard and its specific provisions."
